alias,canonical_uri,canonical_label,language,source
ui design,http://data.europa.eu/esco/skill/de0be6e8-644c-4cc9-9c8d-925dd98dda56,software interaction design,en,custom_patch
design systems,http://data.europa.eu/esco/skill/de0be6e8-644c-4cc9-9c8d-925dd98dda56,software interaction design,en,custom_patch
prototyping,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,create prototype of user experience solutions,en,custom_patch
ios development,http://data.europa.eu/esco/skill/ce26e71f-2d47-474e-89b6-7920931ac4fc,iOS,en,custom_patch
vue,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,en,custom_patch
react,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,en,custom_patch
rag,http://data.europa.eu/esco/skill/4bf59dde-8a03-483f-976a-45764f1e6d6f,search engines,en,custom_patch
information retrieval,http://data.europa.eu/esco/skill/4bf59dde-8a03-483f-976a-45764f1e6d6f,search engines,en,custom_patch
recommender system,http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258,build recommender systems,en,custom_patch
prompt engineering,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,principles of artificial intelligence,en,custom_patch
large models,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,principles of artificial intelligence,en,custom_patch
multi modal technology,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,principles of artificial intelligence,en,custom_patch
google suite,http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2,office software,en,custom_patch
customer experience,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,customer service,en,custom_patch
client services,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,customer service,en,custom_patch
client solutions,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,customer service,en,custom_patch
mandarin,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,Chinese,en,custom_patch
frontend development,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,en,custom_patch
full stack development,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,en,custom_patch
backend engineering,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,en,custom_patch
